Query	Hit_Accession	Hit_Description
AIPGENE9745	sp|A7SFP1|SHOC2_NEMVE	Leucine-rich repeat protein soc-2 homolog OS=Nematostella vectensis GN=v1g189306 PE=3 SV=1
AIPGENE9746	sp|P11352|GPX1_MOUSE	Glutathione peroxidase 1 OS=Mus musculus GN=Gpx1 PE=1 SV=2
AIPGENE9747	sp|P51650|SSDH_RAT	Succinate-semialdehyde dehydrogenase, mitochondrial OS=Rattus norvegicus GN=Aldh5a1 PE=1 SV=2
AIPGENE9748	sp|O95147|DUS14_HUMAN	Dual specificity protein phosphatase 14 OS=Homo sapiens GN=DUSP14 PE=1 SV=1
AIPGENE9749	sp|Q63569|PRS6A_RAT	26S protease regulatory subunit 6A OS=Rattus norvegicus GN=Psmc3 PE=2 SV=1
AIPGENE9750	sp|O94988|FA13A_HUMAN	Protein FAM13A OS=Homo sapiens GN=FAM13A PE=1 SV=2
AIPGENE9751	sp|Q17QM8|DUS14_BOVIN	Dual specificity protein phosphatase 14 OS=Bos taurus GN=DUSP14 PE=2 SV=1
AIPGENE9752		
AIPGENE9753		
AIPGENE9754	sp|Q9DA15|THEGL_MOUSE	Testicular haploid expressed gene protein-like OS=Mus musculus GN=Thegl PE=2 SV=1
AIPGENE9755	sp|Q28IU1|DHB12_XENTR	Estradiol 17-beta-dehydrogenase 12 OS=Xenopus tropicalis GN=hsd17b12 PE=2 SV=1
AIPGENE9756		
AIPGENE9757	sp|P46871|KRP95_STRPU	Kinesin-II 95 kDa subunit OS=Strongylocentrotus purpuratus GN=KRP95 PE=1 SV=1
AIPGENE9758		
AIPGENE9759	sp|Q92859|NEO1_HUMAN	Neogenin OS=Homo sapiens GN=NEO1 PE=1 SV=2
AIPGENE9760	sp|Q569T7|NAGT1_XENLA	Sodium-dependent glucose transporter 1 OS=Xenopus laevis GN=naglt1 PE=2 SV=1
AIPGENE9761	sp|Q9D0K0|TBCD7_MOUSE	TBC1 domain family member 7 OS=Mus musculus GN=Tbc1d7 PE=1 SV=1
AIPGENE9762	tr|A7S5Z4|A7S5Z4_NEMVE	Predicted protein OS=Nematostella vectensis GN=v1g207321 PE=4 SV=1
AIPGENE9763	sp|Q569T7|NAGT1_XENLA	Sodium-dependent glucose transporter 1 OS=Xenopus laevis GN=naglt1 PE=2 SV=1
AIPGENE9764	sp|Q569T7|NAGT1_XENLA	Sodium-dependent glucose transporter 1 OS=Xenopus laevis GN=naglt1 PE=2 SV=1
AIPGENE9765	sp|Q8BGI4|FA13A_MOUSE	Protein FAM13A OS=Mus musculus GN=Fam13a PE=2 SV=1
AIPGENE9766	sp|O15066|KIF3B_HUMAN	Kinesin-like protein KIF3B OS=Homo sapiens GN=KIF3B PE=1 SV=1
AIPGENE9767	sp|Q27128|PAPSS_URECA	Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase OS=Urechis caupo PE=2 SV=1
AIPGENE9768	sp|O64411|PAO_MAIZE	Polyamine oxidase OS=Zea mays GN=PAO PE=1 SV=1
AIPGENE9769	sp|Q569T7|NAGT1_XENLA	Sodium-dependent glucose transporter 1 OS=Xenopus laevis GN=naglt1 PE=2 SV=1
AIPGENE9770	sp|Q9D275|BATF3_MOUSE	Basic leucine zipper transcriptional factor ATF-like 3 OS=Mus musculus GN=Batf3 PE=2 SV=1
AIPGENE9771	tr|K1RN92|K1RN92_CRAGI	Uncharacterized protein OS=Crassostrea gigas GN=CGI_10016017 PE=4 SV=1
AIPGENE9772	sp|Q28IU1|DHB12_XENTR	Estradiol 17-beta-dehydrogenase 12 OS=Xenopus tropicalis GN=hsd17b12 PE=2 SV=1
AIPGENE9773		
AIPGENE9774	sp|Q99758|ABCA3_HUMAN	ATP-binding cassette sub-family A member 3 OS=Homo sapiens GN=ABCA3 PE=1 SV=2
AIPGENE9775	sp|Q99758|ABCA3_HUMAN	ATP-binding cassette sub-family A member 3 OS=Homo sapiens GN=ABCA3 PE=1 SV=2
AIPGENE9776	tr|A7S2E3|A7S2E3_NEMVE	Predicted protein OS=Nematostella vectensis GN=v1g205729 PE=4 SV=1
AIPGENE9777		
AIPGENE9778	tr|W4Z0I4|W4Z0I4_STRPU	Uncharacterized protein OS=Strongylocentrotus purpuratus GN=Sp-PppL_129 PE=4 SV=1
AIPGENE9779	sp|O95477|ABCA1_HUMAN	ATP-binding cassette sub-family A member 1 OS=Homo sapiens GN=ABCA1 PE=1 SV=3
AIPGENE9780	sp|P79888|DCAM_XENLA	S-adenosylmethionine decarboxylase proenzyme OS=Xenopus laevis GN=amd1 PE=2 SV=1
AIPGENE9781	sp|P79888|DCAM_XENLA	S-adenosylmethionine decarboxylase proenzyme OS=Xenopus laevis GN=amd1 PE=2 SV=1
AIPGENE9782	sp|Q99N01|SO4A1_RAT	Solute carrier organic anion transporter family member 4A1 OS=Rattus norvegicus GN=Slco4a1 PE=2 SV=1
AIPGENE9783	sp|Q6NYU7|UPP_DANRE	Uracil phosphoribosyltransferase homolog OS=Danio rerio GN=uprt PE=2 SV=1
AIPGENE9784	sp|Q5VVH5|IKBP1_HUMAN	Interleukin-1 receptor-associated kinase 1-binding protein 1 OS=Homo sapiens GN=IRAK1BP1 PE=2 SV=1
AIPGENE9785	sp|Q8BGD4|SO4C1_MOUSE	Solute carrier organic anion transporter family member 4C1 OS=Mus musculus GN=Slco4c1 PE=2 SV=1
AIPGENE9786	sp|P31976|EZRI_BOVIN	Ezrin OS=Bos taurus GN=EZR PE=1 SV=2
AIPGENE9787	sp|P42639|TPM1_PIG	Tropomyosin alpha-1 chain OS=Sus scrofa GN=TPM1 PE=1 SV=2
AIPGENE9788	sp|P50392|PA24A_DANRE	Cytosolic phospholipase A2 OS=Danio rerio GN=pla2g4a PE=2 SV=1
AIPGENE9789	tr|C3XTK1|C3XTK1_BRAFL	Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_219680 PE=4 SV=1
AIPGENE9790	tr|H9KP86|H9KP86_APIME	Uncharacterized protein OS=Apis mellifera PE=4 SV=1
AIPGENE9791	sp|Q8N5M9|JAGN1_HUMAN	Protein jagunal homolog 1 OS=Homo sapiens GN=JAGN1 PE=1 SV=1
AIPGENE9792	sp|Q91VW3|SH3L3_MOUSE	SH3 domain-binding glutamic acid-rich-like protein 3 OS=Mus musculus GN=Sh3bgrl3 PE=1 SV=1
AIPGENE9793	sp|Q4QRH7|PEX16_DANRE	Peroxisomal membrane protein PEX16 OS=Danio rerio GN=pex16 PE=2 SV=1
AIPGENE9794	sp|Q9D554|SF3A3_MOUSE	Splicing factor 3A subunit 3 OS=Mus musculus GN=Sf3a3 PE=2 SV=2
AIPGENE9795	sp|P54357|MLC2_DROME	Myosin-2 essential light chain OS=Drosophila melanogaster GN=Mlc-c PE=1 SV=1
AIPGENE9796	sp|Q91VW3|SH3L3_MOUSE	SH3 domain-binding glutamic acid-rich-like protein 3 OS=Mus musculus GN=Sh3bgrl3 PE=1 SV=1
AIPGENE9797	sp|A4IFJ5|PA24A_BOVIN	Cytosolic phospholipase A2 OS=Bos taurus GN=PLA2G4A PE=1 SV=1
AIPGENE9798	sp|Q9WU70|STXB5_RAT	Syntaxin-binding protein 5 OS=Rattus norvegicus GN=Stxbp5 PE=1 SV=1
AIPGENE9799	sp|Q8IDX6|RBP2A_PLAF7	Reticulocyte-binding protein 2 homolog a OS=Plasmodium falciparum (isolate 3D7) GN=PF13_0198 PE=3 SV=1
AIPGENE9800		
AIPGENE9801	sp|Q8BHC1|RB39B_MOUSE	Ras-related protein Rab-39B OS=Mus musculus GN=Rab39b PE=2 SV=1
AIPGENE9802	sp|Q8C4P0|K1958_MOUSE	Uncharacterized protein KIAA1958 homolog OS=Mus musculus PE=2 SV=1
AIPGENE9803	sp|Q32LP2|RADI_BOVIN	Radixin OS=Bos taurus GN=RDX PE=2 SV=1
AIPGENE9804	sp|Q170J7|MOEH_AEDAE	Moesin/ezrin/radixin homolog 1 OS=Aedes aegypti GN=Moe PE=3 SV=1
AIPGENE9805	sp|Q6GMR7|FAAH2_HUMAN	Fatty-acid amide hydrolase 2 OS=Homo sapiens GN=FAAH2 PE=2 SV=1
AIPGENE9806	sp|P50392|PA24A_DANRE	Cytosolic phospholipase A2 OS=Danio rerio GN=pla2g4a PE=2 SV=1
AIPGENE9807	sp|Q8K078|SO4A1_MOUSE	Solute carrier organic anion transporter family member 4A1 OS=Mus musculus GN=Slco4a1 PE=1 SV=2
AIPGENE9808	sp|Q3SZA5|SPSY_BOVIN	Spermine synthase OS=Bos taurus GN=SMS PE=2 SV=1
AIPGENE9809		
AIPGENE9810	sp|Q9I8D1|MYO6_CHICK	Unconventional myosin-VI OS=Gallus gallus GN=MYO6 PE=1 SV=1
AIPGENE9811	sp|P18735|ZG7_XENLA	Gastrula zinc finger protein XlCGF7.1 (Fragment) OS=Xenopus laevis PE=3 SV=1
AIPGENE9812	sp|Q9V9J3|SRC42_DROME	Tyrosine-protein kinase Src42A OS=Drosophila melanogaster GN=Src42A PE=2 SV=1
AIPGENE9813		
AIPGENE9814	sp|Q62388|ATM_MOUSE	Serine-protein kinase ATM OS=Mus musculus GN=Atm PE=1 SV=2
AIPGENE9815	sp|Q62388|ATM_MOUSE	Serine-protein kinase ATM OS=Mus musculus GN=Atm PE=1 SV=2
AIPGENE9816	tr|C3YDU1|C3YDU1_BRAFL	Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_129536 PE=3 SV=1
AIPGENE9817	sp|Q8R1U2|CGRE1_MOUSE	Cell growth regulator with EF hand domain protein 1 OS=Mus musculus GN=Cgref1 PE=2 SV=1
AIPGENE9818	sp|P46822|KLC_CAEEL	Kinesin light chain OS=Caenorhabditis elegans GN=klc-2 PE=2 SV=2
AIPGENE9819	sp|P46822|KLC_CAEEL	Kinesin light chain OS=Caenorhabditis elegans GN=klc-2 PE=2 SV=2
AIPGENE9820	sp|Q9H299|SH3L3_HUMAN	SH3 domain-binding glutamic acid-rich-like protein 3 OS=Homo sapiens GN=SH3BGRL3 PE=1 SV=1
AIPGENE9821	sp|P0CT43|TF28_SCHPO	Transposon Tf2-8 polyprotein OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) GN=Tf2-8 PE=3 SV=1
AIPGENE9822	tr|W4ZFJ0|W4ZFJ0_STRPU	Uncharacterized protein OS=Strongylocentrotus purpuratus GN=Sp-Endrvt10 PE=4 SV=1
AIPGENE9823	tr|W4ZDS5|W4ZDS5_STRPU	Uncharacterized protein OS=Strongylocentrotus purpuratus GN=Sp-Thap11L PE=4 SV=1
AIPGENE9824	sp|Q9MYY8|TRXR1_PIG	Thioredoxin reductase 1, cytoplasmic OS=Sus scrofa GN=TXNRD1 PE=2 SV=3
AIPGENE9825	sp|Q8C6G8|WDR26_MOUSE	WD repeat-containing protein 26 OS=Mus musculus GN=Wdr26 PE=2 SV=3
AIPGENE9826	tr|A7T4R4|A7T4R4_NEMVE	Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g222317 PE=4 SV=1
AIPGENE9827		
AIPGENE9828	sp|Q90512|ODO2_TAKRU	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial (Fragment) OS=Takifugu rubripes GN=dlst PE=3 SV=1
AIPGENE9829	sp|Q6PI53|MED24_XENLA	Mediator of RNA polymerase II transcription subunit 24 OS=Xenopus laevis GN=med24 PE=2 SV=1
AIPGENE9830	sp|Q03720|SLO_DROME	Calcium-activated potassium channel slowpoke OS=Drosophila melanogaster GN=slo PE=1 SV=3
AIPGENE9831	gi|495932479|ref|WP_008657058.1|	IS66 family element, transposase [Rhodopirellula europaea] >gi|448886218|gb|EMB16628.1| IS66 family element, transposase [Rhodopirellula europaea 6C]
AIPGENE9832	gi|156362601|ref|XP_001625864.1|	predicted protein [Nematostella vectensis] >gi|156212717|gb|EDO33764.1| predicted protein [Nematostella vectensis]
AIPGENE9833		
AIPGENE9834		
AIPGENE9835	tr|C3ZD57|C3ZD57_BRAFL	Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_88508 PE=4 SV=1
AIPGENE9836	sp|Q8CIV2|MBRL_MOUSE	Membralin OS=Mus musculus GN=Tmem259 PE=1 SV=2
AIPGENE9837		
AIPGENE9838	sp|Q9C7W4|LACS3_ARATH	Long chain acyl-CoA synthetase 3 OS=Arabidopsis thaliana GN=LACS3 PE=2 SV=1
AIPGENE9839	sp|Q9H694|BICC1_HUMAN	Protein bicaudal C homolog 1 OS=Homo sapiens GN=BICC1 PE=1 SV=2
AIPGENE9840	sp|Q93008|USP9X_HUMAN	Probable ubiquitin carboxyl-terminal hydrolase FAF-X OS=Homo sapiens GN=USP9X PE=1 SV=3
AIPGENE9841	sp|Q14BP6|YV012_MOUSE	Leucine-rich repeat-containing protein LOC400891 homolog OS=Mus musculus PE=2 SV=1
AIPGENE9842	sp|Q1L8X9|VGLU3_DANRE	Vesicular glutamate transporter 3 OS=Danio rerio GN=slc17a8 PE=3 SV=2
AIPGENE9843	gi|124803018|ref|XP_001347667.1|	Plasmodium repeat_MYXSPDY protein [Plasmodium falciparum 3D7] >gi|23495251|gb|AAN35580.1| Plasmodium repeat_MYXSPDY protein [Plasmodium falciparum 3D7]
AIPGENE9844	sp|Q9Y5P8|P2R3B_HUMAN	Serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit beta OS=Homo sapiens GN=PPP2R3B PE=1 SV=2
AIPGENE9845	sp|F1QBY1|NIPLB_DANRE	Nipped-B-like protein B OS=Danio rerio GN=nipblb PE=2 SV=1
AIPGENE9846	sp|Q9HCI7|MSL2_HUMAN	E3 ubiquitin-protein ligase MSL2 OS=Homo sapiens GN=MSL2 PE=1 SV=2
AIPGENE9847	sp|Q7MS24|ECTC_WOLSU	L-ectoine synthase OS=Wolinella succinogenes (strain ATCC 29543 / DSM 1740 / LMG 7466 / NCTC 11488 / FDC 602W) GN=ectC PE=3 SV=1
AIPGENE9848	sp|Q13018|PLA2R_HUMAN	Secretory phospholipase A2 receptor OS=Homo sapiens GN=PLA2R1 PE=1 SV=2
AIPGENE9849	sp|Q9NSD7|RL3R1_HUMAN	Relaxin-3 receptor 1 OS=Homo sapiens GN=RXFP3 PE=1 SV=1
AIPGENE9850	sp|P79384|PCCB_PIG	Propionyl-CoA carboxylase beta chain, mitochondrial OS=Sus scrofa GN=PCCB PE=2 SV=1
AIPGENE9851	gi|156383815|ref|XP_001633028.1|	predicted protein [Nematostella vectensis] >gi|156220092|gb|EDO40965.1| predicted protein [Nematostella vectensis]
AIPGENE9852	sp|Q9VB11|UNC80_DROME	Protein unc-80 homolog OS=Drosophila melanogaster GN=CG18437 PE=3 SV=4
AIPGENE9853	sp|Q9VB11|UNC80_DROME	Protein unc-80 homolog OS=Drosophila melanogaster GN=CG18437 PE=3 SV=4
AIPGENE9854		
AIPGENE9855	sp|P62288|ASPM_FELCA	Abnormal spindle-like microcephaly-associated protein homolog (Fragment) OS=Felis catus GN=ASPM PE=2 SV=1
AIPGENE9856	sp|C6FG12|NLRC5_ICTPU	Protein NLRC5 OS=Ictalurus punctatus GN=nlrc5 PE=2 SV=1
AIPGENE9857		
AIPGENE9858	sp|P22853|MERR_BACCE	Mercuric resistance operon regulatory protein OS=Bacillus cereus GN=merR1 PE=1 SV=1
AIPGENE9859	tr|A7SVX9|A7SVX9_NEMVE	Predicted protein OS=Nematostella vectensis GN=v1g247717 PE=4 SV=1
AIPGENE9860	sp|Q15119|PDK2_HUMAN	[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 2, mitochondrial OS=Homo sapiens GN=PDK2 PE=1 SV=2
AIPGENE9861	sp|Q8BRH4|KMT2C_MOUSE	Histone-lysine N-methyltransferase 2C OS=Mus musculus GN=Kmt2c PE=1 SV=2
AIPGENE9862	gi|405962798|gb|EKC28441.1|	hypothetical protein CGI_10027720 [Crassostrea gigas]
AIPGENE9863	sp|P08548|LIN1_NYCCO	LINE-1 reverse transcriptase homolog OS=Nycticebus coucang PE=1 SV=1
AIPGENE9864	gi|221107382|ref|XP_002154684.1|	PREDICTED: uncharacterized protein LOC100200063 [Hydra vulgaris]
AIPGENE9865	sp|A2A6A1|GPTC8_MOUSE	G patch domain-containing protein 8 OS=Mus musculus GN=Gpatch8 PE=1 SV=1
AIPGENE9866	sp|Q5FVN8|WSDU1_RAT	WD repeat, SAM and U-box domain-containing protein 1 OS=Rattus norvegicus GN=Wdsub1 PE=2 SV=1
AIPGENE9867	sp|Q5FVN8|WSDU1_RAT	WD repeat, SAM and U-box domain-containing protein 1 OS=Rattus norvegicus GN=Wdsub1 PE=2 SV=1
AIPGENE9868	tr|A7SFB3|A7SFB3_NEMVE	Predicted protein OS=Nematostella vectensis GN=v1g244866 PE=4 SV=1
AIPGENE9869	tr|A7SFB3|A7SFB3_NEMVE	Predicted protein OS=Nematostella vectensis GN=v1g244866 PE=4 SV=1
AIPGENE9870	sp|P17124|HRH2_CANFA	Histamine H2 receptor OS=Canis familiaris GN=HRH2 PE=1 SV=1
AIPGENE9871	sp|Q8C761|WDR60_MOUSE	WD repeat-containing protein 60 OS=Mus musculus GN=Wdr60 PE=2 SV=1
AIPGENE9872	sp|Q8NEZ4|KMT2C_HUMAN	Histone-lysine N-methyltransferase 2C OS=Homo sapiens GN=KMT2C PE=1 SV=3
AIPGENE9873	sp|Q8NEZ4|KMT2C_HUMAN	Histone-lysine N-methyltransferase 2C OS=Homo sapiens GN=KMT2C PE=1 SV=3
AIPGENE9874	sp|Q8C761|WDR60_MOUSE	WD repeat-containing protein 60 OS=Mus musculus GN=Wdr60 PE=2 SV=1
AIPGENE9875	sp|Q5YCW0|TAU_GORGO	Microtubule-associated protein tau OS=Gorilla gorilla gorilla GN=MAPT PE=3 SV=4
AIPGENE9876	sp|P42674|BP10_PARLI	Blastula protease 10 OS=Paracentrotus lividus GN=BP10 PE=2 SV=1
AIPGENE9877	sp|P47810|WEE1_MOUSE	Wee1-like protein kinase OS=Mus musculus GN=Wee1 PE=1 SV=2
AIPGENE9878	sp|Q9Y484|WIPI4_HUMAN	WD repeat domain phosphoinositide-interacting protein 4 OS=Homo sapiens GN=WDR45 PE=2 SV=1
AIPGENE9879	sp|Q8BY87|UBP47_MOUSE	Ubiquitin carboxyl-terminal hydrolase 47 OS=Mus musculus GN=Usp47 PE=1 SV=2
AIPGENE9880	sp|Q96P65|QRFPR_HUMAN	Pyroglutamylated RFamide peptide receptor OS=Homo sapiens GN=QRFPR PE=1 SV=2
AIPGENE9881		
AIPGENE9882	sp|O08734|BAK_MOUSE	Bcl-2 homologous antagonist/killer OS=Mus musculus GN=Bak1 PE=1 SV=2
AIPGENE9883	sp|Q5ZL33|STRAP_CHICK	Serine-threonine kinase receptor-associated protein OS=Gallus gallus GN=STRAP PE=2 SV=2
AIPGENE9884	sp|Q9D6J3|CCD94_MOUSE	Coiled-coil domain-containing protein 94 OS=Mus musculus GN=Ccdc94 PE=1 SV=1
AIPGENE9885	sp|Q8VCS0|PGRP2_MOUSE	N-acetylmuramoyl-L-alanine amidase OS=Mus musculus GN=Pglyrp2 PE=1 SV=1
AIPGENE9886	gi|556102301|gb|ESO90953.1|	hypothetical protein LOTGIDRAFT_163461 [Lottia gigantea]
AIPGENE9887	sp|Q8N475|FSTL5_HUMAN	Follistatin-related protein 5 OS=Homo sapiens GN=FSTL5 PE=2 SV=2
AIPGENE9888	sp|Q3UI66|CCD34_MOUSE	Coiled-coil domain-containing protein 34 OS=Mus musculus GN=Ccdc34 PE=2 SV=1
AIPGENE9889		
AIPGENE9890	sp|P84045|H4_TIGCA	Histone H4 OS=Tigriopus californicus GN=His4 PE=3 SV=2
AIPGENE9891	sp|P84239|H3_URECA	Histone H3 OS=Urechis caupo PE=1 SV=2
AIPGENE9892	sp|Q8TEW6|DOK4_HUMAN	Docking protein 4 OS=Homo sapiens GN=DOK4 PE=1 SV=2
AIPGENE9893	sp|P08873|PA2B2_NOTSC	Basic phospholipase A2 notechis 11'2 OS=Notechis scutatus scutatus PE=1 SV=1
AIPGENE9894	sp|D2X8K2|PA2_CONGI	Phospholipase A2 OS=Condylactis gigantea PE=1 SV=1
AIPGENE9895	sp|Q5RF73|TMM19_PONAB	Transmembrane protein 19 OS=Pongo abelii GN=TMEM19 PE=2 SV=1
AIPGENE9896	sp|P23978|SC6A1_RAT	Sodium- and chloride-dependent GABA transporter 1 OS=Rattus norvegicus GN=Slc6a1 PE=1 SV=1
AIPGENE9897	sp|P56719|OX2R_RAT	Orexin receptor type 2 OS=Rattus norvegicus GN=Hcrtr2 PE=2 SV=1
AIPGENE9898		
AIPGENE9899		
AIPGENE9900	sp|Q92538|GBF1_HUMAN	Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1 OS=Homo sapiens GN=GBF1 PE=1 SV=2
AIPGENE9901	sp|P21328|RTJK_DROME	RNA-directed DNA polymerase from mobile element jockey OS=Drosophila melanogaster GN=pol PE=1 SV=1
AIPGENE9902	sp|Q54527|RDMB_STREF	Aclacinomycin 10-hydroxylase RdmB OS=Streptomyces purpurascens GN=rdmB PE=1 SV=1
AIPGENE9903	sp|Q6LAF1|H4_DENKL	Histone H4 OS=Dendronephthya klunzingeri GN=H4DEKL PE=3 SV=3
AIPGENE9904	sp|Q92804|RBP56_HUMAN	TATA-binding protein-associated factor 2N OS=Homo sapiens GN=TAF15 PE=1 SV=1
AIPGENE9905	sp|Q62703|RCN2_RAT	Reticulocalbin-2 OS=Rattus norvegicus GN=Rcn2 PE=1 SV=2
AIPGENE9906	sp|A7RFA1|PTER_NEMVE	Phosphotriesterase-related protein OS=Nematostella vectensis GN=v1g177083 PE=3 SV=1
AIPGENE9907		
AIPGENE9908	sp|Q09575|YRD6_CAEEL	Uncharacterized protein K02A2.6 OS=Caenorhabditis elegans GN=K02A2.6 PE=4 SV=1
AIPGENE9909	tr|C7C211|C7C211_SCHJA	Reverse transcriptase OS=Schistosoma japonicum PE=4 SV=1
AIPGENE9910	sp|Q80U12|SGSM2_MOUSE	Small G protein signaling modulator 2 OS=Mus musculus GN=Sgsm2 PE=2 SV=2
AIPGENE9911	sp|Q6P5M2|WDR61_DANRE	WD repeat-containing protein 61 OS=Danio rerio GN=wdr61 PE=2 SV=1
AIPGENE9912	tr|A7RN22|A7RN22_NEMVE	Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g239505 PE=4 SV=1
AIPGENE9913	sp|Q5EBP3|ARMC5_MOUSE	Armadillo repeat-containing protein 5 OS=Mus musculus GN=Armc5 PE=2 SV=1
AIPGENE9914	sp|Q9D994|WDR38_MOUSE	WD repeat-containing protein 38 OS=Mus musculus GN=Wdr38 PE=2 SV=1
AIPGENE9915	sp|Q9EQ15|GNB1L_MOUSE	Guanine nucleotide-binding protein subunit beta-like protein 1 OS=Mus musculus GN=Gnb1l PE=2 SV=2
AIPGENE9916	sp|A6QR44|DGCR8_BOVIN	Microprocessor complex subunit DGCR8 OS=Bos taurus GN=DGCR8 PE=2 SV=1
AIPGENE9917	sp|Q92769|HDAC2_HUMAN	Histone deacetylase 2 OS=Homo sapiens GN=HDAC2 PE=1 SV=2
AIPGENE9918	sp|Q1RMU8|NPY1R_BOVIN	Neuropeptide Y receptor type 1 OS=Bos taurus GN=NPY1R PE=2 SV=1
AIPGENE9919	tr|A7SIY5|A7SIY5_NEMVE	Predicted protein OS=Nematostella vectensis GN=v1g212995 PE=4 SV=1
AIPGENE9920		
AIPGENE9921	sp|Q9EPN1|NBEA_MOUSE	Neurobeachin OS=Mus musculus GN=Nbea PE=2 SV=1
AIPGENE9922	tr|W4YLQ8|W4YLQ8_STRPU	Uncharacterized protein OS=Strongylocentrotus purpuratus GN=Sp-PolypL_91 PE=4 SV=1
AIPGENE9923		
AIPGENE9924	sp|Q99315|YG31B_YEAST	Transposon Ty3-G Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TY3B-G PE=1 SV=3
AIPGENE9925	sp|Q9Y3B9|RRP15_HUMAN	RRP15-like protein OS=Homo sapiens GN=RRP15 PE=1 SV=2
AIPGENE9926	sp|P10477|GUNE_CLOTM	Endoglucanase E OS=Clostridium thermocellum GN=celE PE=1 SV=1
AIPGENE9927	gi|156403642|ref|XP_001640017.1|	predicted protein [Nematostella vectensis] >gi|156227149|gb|EDO47954.1| predicted protein [Nematostella vectensis]
AIPGENE9928	tr|V3ZCB7|V3ZCB7_LOTGI	Uncharacterized protein OS=Lottia gigantea GN=LOTGIDRAFT_165491 PE=4 SV=1
AIPGENE9929	sp|Q7LHG5|YI31B_YEAST	Transposon Ty3-I Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TY3B-I PE=3 SV=2
AIPGENE9930		
AIPGENE9931	sp|Q6P2K3|CC067_MOUSE	Uncharacterized protein C3orf67 homolog OS=Mus musculus PE=2 SV=2
AIPGENE9932	sp|B5FXE5|AIFM2_TAEGU	Apoptosis-inducing factor 2 OS=Taeniopygia guttata GN=AIFM2 PE=2 SV=1
AIPGENE9933	sp|A6NJV1|CB070_HUMAN	UPF0573 protein C2orf70 OS=Homo sapiens GN=C2orf70 PE=2 SV=1
AIPGENE9934	sp|Q32L15|RN141_BOVIN	RING finger protein 141 OS=Bos taurus GN=RNF141 PE=2 SV=1
AIPGENE9935	sp|Q91YN0|CL004_MOUSE	Uncharacterized protein C12orf4 homolog OS=Mus musculus GN=D6Wsu163e PE=2 SV=1
AIPGENE9936	gi|156390519|ref|XP_001635318.1|	predicted protein [Nematostella vectensis] >gi|156222410|gb|EDO43255.1| predicted protein [Nematostella vectensis]
AIPGENE9937	tr|A7RV63|A7RV63_NEMVE	Predicted protein OS=Nematostella vectensis GN=v1g202621 PE=4 SV=1
AIPGENE9938	sp|B5X4E0|CALUB_SALSA	Calumenin-B OS=Salmo salar GN=calub PE=2 SV=1
AIPGENE9939	sp|Q756G9|GCN5_ASHGO	Histone acetyltransferase GCN5 OS=Ashbya gossypii (strain ATCC 10895 / CBS 109.51 / FGSC 9923 / NRRL Y-1056) GN=GCN5 PE=3 SV=1
AIPGENE9940	sp|P50170|RDH2_RAT	Retinol dehydrogenase 2 OS=Rattus norvegicus GN=Rdh2 PE=1 SV=1
AIPGENE9941	sp|P50170|RDH2_RAT	Retinol dehydrogenase 2 OS=Rattus norvegicus GN=Rdh2 PE=1 SV=1
AIPGENE9942	sp|Q3SZW1|TSSK1_BOVIN	Testis-specific serine/threonine-protein kinase 1 OS=Bos taurus GN=TSSK1B PE=2 SV=1
AIPGENE9943	tr|A7SJS8|A7SJS8_NEMVE	Predicted protein OS=Nematostella vectensis GN=v1g213359 PE=3 SV=1
AIPGENE9944	tr|W4Z5F3|W4Z5F3_STRPU	Uncharacterized protein OS=Strongylocentrotus purpuratus GN=Sp-Heldr5_2 PE=4 SV=1
AIPGENE9945	sp|A6QLQ8|ENDOU_BOVIN	Poly(U)-specific endoribonuclease OS=Bos taurus GN=ENDOU PE=2 SV=1
AIPGENE9946		
AIPGENE9947	sp|Q99MB5|LMO3_RAT	LIM domain only protein 3 OS=Rattus norvegicus GN=Lmo3 PE=2 SV=2
AIPGENE9948	sp|Q90YJ2|NGB_DANRE	Neuroglobin OS=Danio rerio GN=ngb PE=1 SV=1
AIPGENE9949		
AIPGENE9950	sp|B5X4E0|CALUB_SALSA	Calumenin-B OS=Salmo salar GN=calub PE=2 SV=1
AIPGENE9951	sp|Q9GZR5|ELOV4_HUMAN	Elongation of very long chain fatty acids protein 4 OS=Homo sapiens GN=ELOVL4 PE=1 SV=1
AIPGENE9952	tr|C3YY28|C3YY28_BRAFL	Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_79909 PE=4 SV=1
AIPGENE9953		
